,Year,Area,Count
864,1978,Central Africa,0.0
865,1978,Central America,15.0
866,1978,Central Asia,1.0
867,1978,Central Europe,2.0
868,1978,East Asia,16.0
869,1978,Eastern Africa,0.0
870,1978,Eastern Europe,1.0
871,1978,Indian Ocean,0.0
872,1978,North America,143.0
873,1978,Northern Africa,3.0
874,1978,Northern Asia,0.0
875,1978,Northern Europe,6.0
876,1978,Pacific,28.0
877,1978,South America,16.0
878,1978,South Asia,4.0
879,1978,South East Asia,26.0
880,1978,South East Europe,1.0
881,1978,South West Asia,3.0
882,1978,South West Europe,4.0
883,1978,Southern Africa,2.0
884,1978,Southern Europe,1.0
885,1978,West Indies,7.0
886,1978,Western Africa,1.0
887,1978,Western Europe,102.0
888,1979,Central Africa,0.0
889,1979,Central America,15.0
890,1979,Central Asia,1.0
891,1979,Central Europe,2.0
892,1979,East Asia,16.0
893,1979,Eastern Africa,0.0
894,1979,Eastern Europe,1.0
895,1979,Indian Ocean,0.0
896,1979,North America,152.0
897,1979,Northern Africa,3.0
898,1979,Northern Asia,0.0
899,1979,Northern Europe,7.0
900,1979,Pacific,30.0
901,1979,South America,17.0
902,1979,South Asia,4.0
903,1979,South East Asia,26.0
904,1979,South East Europe,2.0
905,1979,South West Asia,3.0
906,1979,South West Europe,4.0
907,1979,Southern Africa,2.0
908,1979,Southern Europe,1.0
909,1979,West Indies,7.0
910,1979,Western Africa,1.0
911,1979,Western Europe,116.0
912,1980,Central Africa,0.0
913,1980,Central America,17.0
914,1980,Central Asia,1.0
915,1980,Central Europe,2.0
916,1980,East Asia,16.0
917,1980,Eastern Africa,0.0
918,1980,Eastern Europe,1.0
919,1980,Indian Ocean,0.0
920,1980,North America,159.0
921,1980,Northern Africa,3.0
922,1980,Northern Asia,0.0
923,1980,Northern Europe,7.0
924,1980,Pacific,33.0
925,1980,South America,18.0
926,1980,South Asia,5.0
927,1980,South East Asia,26.0
928,1980,South East Europe,2.0
929,1980,South West Asia,3.0
930,1980,South West Europe,5.0
